PID,USER,PR,NI,VIRT,RES,SHR,S,%CPU,%MEM,TIME+,COMMAND
6266,swap,20,0,310424,6656,6144,S,0.0,0.1,0:00.03,gsd-a11+
6269,swap,20,0,315084,11744,6912,S,0.0,0.1,0:00.98,ibus-da+
6272,swap,20,0,598548,25032,19528,S,0.0,0.3,0:00.38,gsd-col+
6275,swap,20,0,375468,16256,14336,S,0.0,0.2,0:00.07,gsd-dat+
6288,swap,20,0,311928,7808,7040,S,0.0,0.1,0:00.42,gsd-hou+
6297,swap,20,0,340484,21380,16772,S,0.0,0.3,0:00.31,gsd-key+
6301,swap,20,0,828664,63548,48572,S,0.0,0.8,0:00.89,evoluti+
6304,root,0,-20,0,0,0,I,0.0,0.0,0:00.19,kworker+
6305,swap,20,0,716704,26744,21112,S,0.0,0.3,0:00.45,gsd-med+
6313,swap,20,0,140900,37840,29028,S,0.0,0.5,0:11.85,vmtoolsd
6314,swap,20,0,524288,25260,19628,S,0.0,0.3,0:00.48,gsd-pow+
6322,swap,20,0,237312,7296,6656,S,0.0,0.1,0:00.03,ibus-dc+
6324,swap,20,0,249860,11136,9856,S,0.0,0.1,0:00.08,gsd-pri+
6328,swap,20,0,347828,28776,18052,S,0.0,0.4,0:02.46,ibus-ex+
6329,swap,20,0,457860,6656,6016,S,0.0,0.1,0:00.09,gsd-rfk+
6332,swap,20,0,236292,6272,5760,S,0.0,0.1,0:00.05,gsd-scr+
6333,swap,20,0,237260,7296,6784,S,0.0,0.1,0:00.20,ibus-po+
6337,swap,20,0,465940,10752,8960,S,0.0,0.1,0:00.19,gsd-sha+
6339,swap,20,0,232272,7552,6144,S,0.0,0.1,0:00.10,gsd-dis+
6355,swap,20,0,312304,8064,7168,S,0.0,0.1,0:00.09,gsd-sma+
6385,swap,20,0,319340,9728,8576,S,0.0,0.1,0:00.10,gsd-sou+
6399,swap,20,0,341180,22208,17216,S,0.0,0.3,0:00.41,gsd-wac+
6439,swap,20,0,342360,14848,13056,S,0.0,0.2,0:00.13,gsd-pri+
6447,swap,20,0,163028,6400,5888,S,0.0,0.1,0:00.05,gvfsd-m+
6472,swap,20,0,163484,6912,6400,S,0.0,0.1,0:00.23,ibus-en+
6502,swap,20,0,623792,13568,11392,S,0.0,0.2,0:00.69,xdg-des+
6513,swap,20,0,523712,28292,20052,S,0.0,0.3,0:00.55,xdg-des+
6531,swap,20,0,2865740,28128,22656,S,0.0,0.3,0:00.14,gjs
6632,swap,20,0,547536,78968,60256,S,0.0,1.0,0:00.64,gsd-xse+
6642,swap,20,0,343944,23552,16640,S,0.0,0.3,0:00.27,xdg-des+
6668,swap,20,0,194072,24236,17484,S,0.0,0.3,0:00.38,ibus-x11
6729,swap,20,0,931504,71892,49940,S,0.0,0.9,0:01.95,nautilus
6760,root,20,0,0,0,0,I,0.0,0.0,0:00.75,kworker+
6848,swap,20,0,32.5g,47616,39168,S,0.0,0.6,0:00.10,code
6849,swap,20,0,32.5g,47872,39552,S,0.0,0.6,0:00.11,code
6851,swap,20,0,32.5g,11928,3584,S,0.0,0.1,0:00.03,code
6870,swap,20,0,32.0g,3456,3200,S,0.0,0.0,0:00.03,chrome_+
6892,swap,20,0,32.3g,70632,59756,S,0.0,0.9,0:05.70,code
6943,swap,20,0,1157.7g,127096,76772,S,0.0,1.6,0:58.24,code
6944,swap,20,0,1157.7g,99836,72832,S,0.0,1.2,0:10.56,code
6962,swap,20,0,1157.7g,198004,81156,S,0.0,2.4,1:18.43,code
6992,swap,20,0,494116,30212,22532,S,0.0,0.4,0:00.68,update-+
7165,swap,20,0,6316,5124,3200,S,0.0,0.1,0:01.47,pet
7248,swap,20,0,1157.7g,112244,74240,S,0.0,1.4,0:37.45,code
7271,swap,20,0,11428,5120,3584,S,0.0,0.1,0:00.04,bash
7405,swap,20,0,3463884,427020,163480,S,0.0,5.3,5:19.56,firefox
8267,swap,20,0,1608524,20532,13440,S,0.0,0.3,0:00.35,snap
8340,swap,20,0,2443644,83084,63368,S,0.0,1.0,0:00.91,WebExte+
8515,swap,20,0,2491564,117196,81736,S,0.0,1.4,0:04.85,Privile+
8601,swap,20,0,11428,5248,3584,S,0.0,0.1,0:00.03,bash
8983,swap,20,0,11436,5248,3712,S,0.0,0.1,0:00.04,bash
9226,swap,20,0,2768164,224264,98404,S,0.0,2.8,0:19.36,Isolate+
9319,swap,20,0,281700,11648,10368,S,0.0,0.1,0:00.01,gvfsd-h+
9418,root,20,0,0,0,0,I,0.0,0.0,0:03.16,kworker+
9526,swap,20,0,11432,5504,3840,S,0.0,0.1,0:00.37,bash
9830,root,20,0,0,0,0,I,0.0,0.0,0:00.76,kworker+
10323,swap,20,0,22124,12032,6400,S,0.0,0.1,0:00.06,python
10923,swap,20,0,1159.5g,381864,66688,S,0.0,4.7,2:59.42,code
11604,root,20,0,0,0,0,I,0.0,0.0,0:00.66,kworker+
12137,root,20,0,0,0,0,I,0.0,0.0,0:00.67,kworker+
12165,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,kworker+
12269,root,20,0,0,0,0,I,0.0,0.0,0:02.86,kworker+
12338,root,20,0,0,0,0,I,0.0,0.0,0:00.38,kworker+
12339,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,kworker+
12393,root,20,0,0,0,0,I,0.0,0.0,0:00.59,kworker+
12397,root,20,0,0,0,0,I,0.0,0.0,0:00.00,kworker+
12421,swap,20,0,3194840,64100,46244,S,0.0,0.8,0:01.32,gjs
12747,root,20,0,0,0,0,I,0.0,0.0,0:00.16,kworker+
13509,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,kworker+
13551,root,20,0,0,0,0,I,0.0,0.0,0:00.19,kworker+
13552,root,20,0,0,0,0,I,0.0,0.0,0:00.00,kworker+
13558,root,20,0,0,0,0,I,0.0,0.0,0:00.00,kworker+
13590,root,20,0,0,0,0,I,0.0,0.0,0:02.35,kworker+
13628,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,kworker+
13876,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,kworker+
13887,root,20,0,0,0,0,I,0.0,0.0,0:00.10,kworker+
13894,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,kworker+
13902,swap,20,0,554604,52160,39284,S,0.0,0.6,0:02.06,gnome-t+
13923,swap,20,0,11272,5120,3584,S,0.0,0.1,0:00.02,bash
13931,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,kworker+
13933,root,20,0,0,0,0,I,0.0,0.0,0:00.01,kworker+
13936,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,kworker+
13938,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,kworker+
13946,root,20,0,0,0,0,I,0.0,0.0,0:00.00,kworker+
13947,root,20,0,0,0,0,I,0.0,0.0,0:00.00,kworker+
13970,root,20,0,0,0,0,I,0.0,0.0,0:00.71,kworker+
13972,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,kworker+
13980,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,kworker+
13982,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,kworker+
14001,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,kworker+
14002,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,kworker+
14073,root,20,0,0,0,0,I,0.0,0.0,0:00.01,kworker+
14075,root,20,0,0,0,0,I,0.0,0.0,0:00.20,kworker+
14079,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,kworker+
14113,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,kworker+
14114,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,kworker+
14115,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,kworker+
14118,swap,20,0,442100,64516,28416,S,0.0,0.8,0:00.94,python
